Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,0.367,0.36,33.20%,"83,262,122","81,687,059",227157964,245712915,8.40%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814"
2014,41,1,Alabama,0.332,0.329,31.50%,"1,191,274","1,180,413",3588783,3751844,2.50%,"31,691","53,640","8,097","69,826",
2014,81,2,Alaska,0.548,0.542,51.00%,"285,431","282,382",520562,553473,3.90%,"5,216","7,077","2,210","11,389",
2014,61,3,Arizona,0.341,0.334,29.50%,"1,537,671","1,506,416",4510186,5110890,10.10%,"37,516","73,232","7,502","86,028",
2014,42,4,Arkansas,0.403,0.401,37.50%,"852,642","848,592",2117881,2263040,4.00%,"17,756","28,192","21,743","55,287",
2014,71,5,California,0.307,0.299,24.70%,"7,513,972","7,317,581",24440416,29646675,16.80%,"136,088",0,"87,104","223,192",
2014,62,6,Colorado,0.547,0.537,49.40%,"2,080,071","2,041,020",3800664,4128890,7.20%,"19,121",0,"10,067","29,188",
2014,1,7,Connecticut,0.425,0.423,38.50%,"1,096,556","1,089,880",2577311,2828791,8.20%,"16,113",0,"2,564","18,677",
2014,11,8,Delaware,0.349,0.343,31.80%,"238,110","234,038",681526,735156,5.10%,"6,625","15,665",676,"16,073",
2014,55,9,District of Columbia,0.357,0.353,32.00%,"177,176","175,071",495899,547228,9.40%,0,0,0,0,
2014,43,10,Florida,0.433,0.428,37.60%,"6,026,802","5,951,561",13914216,15816663,10.60%,"95,671","227,087","4,519","227,359",
2014,44,11,Georgia,0.386,0.382,33.80%,"2,596,947","2,567,761",6725041,7601982,7.10%,"50,499","471,067","25,547","339,844",
2014,82,12,Hawaii,0.365,0.362,32.90%,"369,554","366,125",1012123,1113693,8.60%,"5,721",0,0,"5,721",
2014,63,13,Idaho,0.398,0.393,36.50%,"445,307","439,830",1119882,1205611,4.60%,"7,901","33,450","4,217","30,850",
2014,21,14,Illinois,0.408,0.402,36.60%,"3,680,417","3,627,690",9028752,9922399,8.50%,"46,465",0,0,"46,465",
2014,22,15,Indiana,0.287,0.278,26.70%,"1,387,622","1,341,814",4829510,5033872,3.50%,"28,638",0,0,"28,638",
2014,31,16,Iowa,0.503,0.498,47.30%,"1,142,284","1,129,700",2269179,2386733,3.60%,"8,686","29,929","5,769","31,215",
2014,32,17,Kansas,0.433,0.425,39.80%,"887,023","869,502",2048164,2184712,5.20%,"9,326","16,328","4,051","22,521",
2014,51,18,Kentucky,0.449,0.442,42.20%,"1,459,409","1,435,868",3247300,3406506,2.70%,"21,402","54,107","16,729","68,431",
2014,45,19,Louisiana,0.449,0.439,41.50%,"1,503,975","1,472,039",3349433,3545845,3.00%,"37,881","40,979","29,619","90,448",
2014,2,20,Maine,0.587,0.581,57.00%,"616,996","611,255",1051557,1071521,1.90%,0,0,0,0,
2014,52,21,Maryland,0.42,0.417,37.30%,"1,745,104","1,733,177",4154546,4645171,8.90%,"20,388","79,539","11,537","76,467",
2014,3,22,Massachusetts,0.447,0.441,40.20%,"2,186,789","2,158,326",4896296,5369534,8.60%,"10,014",0,0,"10,014",
2014,23,23,Michigan,0.432,0.427,41.00%,"3,188,956","3,156,531",7383958,7700110,3.50%,"42,900",0,0,"42,900",
2014,33,24,Minnesota,0.506,0.504,47.20%,"1,992,613","1,981,511",3935121,4194166,4.50%,"10,003","97,661","6,642","71,335",
2014,34,26,Missouri,0.336,0.317,30.50%,"1,509,025","1,426,303",4493722,4682458,2.40%,"31,432","47,303","18,495","76,417",
2014,64,27,Montana,0.475,0.469,46.10%,"373,831","369,826",787748,802644,1.40%,"3,681",0,0,"3,681",
2014,35,28,Nebraska,0.414,0.405,38.00%,"552,115","539,891",1334453,1419489,5.00%,"5,221","12,940","1,067","13,534",
2014,65,29,Nevada,0.296,0.293,25.20%,"552,546","547,349",1867644,2173640,12.90%,"12,537","12,027","5,927","25,199",
2014,4,30,New Hampshire,0.483,0.476,46.00%,"495,565","488,159",1025862,1061054,3.00%,"2,867",0,0,"2,867",
2014,12,31,New Jersey,0.325,0.311,27.00%,"1,955,042","1,869,535",6014127,6936661,11.90%,"20,255","115,898","14,889","100,047",
2014,13,33,New York,0.29,0.282,24.60%,"3,930,310","3,819,010",13553426,15544111,12.20%,"48,376",0,"44,889","93,265",
2014,47,34,North Carolina,0.412,0.408,37.90%,"2,939,767","2,915,281",7143737,7693406,5.90%,"35,726","90,918","10,025","96,665",
2014,36,35,North Dakota,0.45,0.438,42.70%,"255,128","248,670",567221,582205,2.30%,"1,700",0,0,"1,700",
2014,24,36,Ohio,0.362,0.351,34.10%,"3,149,876","3,055,913",8701243,8969074,2.40%,"51,024",0,0,"51,024",
2014,53,37,Oklahoma,0.3,0.299,28.10%,"825,607","824,831",2755091,2940437,4.70%,"27,650","28,568","2,560","46,208",
2014,72,38,Oregon,0.534,0.509,47.20%,"1,541,782","1,469,717",2887517,3115883,6.80%,"15,075",0,0,"15,075",
2014,14,39,Pennsylvania,0.365,0.361,34.60%,"3,535,576","3,495,866",9689491,10100271,3.60%,"49,643",0,0,"49,643",
2014,5,40,Rhode Island,0.424,0.417,38.50%,"329,212","324,055",776286,842605,7.50%,"3,294",0,0,"3,294",
2014,48,41,South Carolina,0.352,0.348,33.10%,"1,261,611","1,246,301",3584461,3760480,3.50%,"20,917","35,096","5,225","45,796",
2014,37,42,South Dakota,0.447,0.443,43.10%,"282,291","279,412",630989,647810,1.60%,"3,528",0,"2,611","6,139",
2014,54,43,Tennessee,0.298,0.286,27.20%,"1,430,117","1,374,065",4799476,5060636,3.60%,"28,495","62,950","13,498","77,245",
2014,67,45,Utah,0.303,0.297,27.50%,"577,973","565,970",1905801,2054936,6.90%,"6,824",0,0,"6,824",
2014,6,46,Vermont,0.408,0.389,38.10%,"202,445","193,087",495884,507304,2.30%,0,0,0,0,
2014,40,47,Virginia,0.368,0.366,33.70%,"2,194,346","2,184,473",5962456,6489957,7.10%,"36,943","54,966","1,732","69,456",
2014,73,48,Washington,0.431,0.412,37.10%,"2,123,901","2,029,189",4928407,5467270,8.40%,"17,345","94,112","9,880","79,928",
2014,56,49,West Virginia,0.32,0.312,30.70%,"462,864","451,498",1447652,1472594,0.80%,"6,873","7,174","2,749","13,639",
2014,25,50,Wisconsin,0.569,0.566,53.90%,"2,422,248","2,410,314",4260427,4470265,3.20%,"22,097","46,212","20,010","67,986",
2014,68,51,Wyoming,0.397,0.39,37.30%,"171,153","168,390",431434,451484,3.10%,"2,330","5,196",715,"5,955",
2012,0,0,United States,0.586,0.58,53.60%,"130,292,355","129,070,906",222474111,240957993,8.40%,"1,473,412","2,342,582","637,410","3,352,390","5,127,418"
2012,81,2,Alaska,0.589,0.587,55.30%,"301,694","300,495",511792,543763,3.80%,"5,633","7,173","1,882","11,317",
2012,61,3,Arizona,0.53,0.526,46.50%,"2,323,579","2,306,559",4387900,4959270,9.90%,"35,188","72,452","7,460","81,048",
2012,42,4,Arkansas,0.511,0.507,47.70%,"1,078,548","1,069,468",2109847,2242740,3.50%,"14,471","30,122","23,372","53,808",
2012,71,5,California,0.557,0.551,45.10%,"13,202,158","13,038,547",23681837,28913129,17.40%,"119,455",0,"89,287","208,742",
2012,62,6,Colorado,0.706,0.699,64.50%,"2,596,173","2,569,522",3675871,3981208,6.90%,"18,807",0,"11,458","30,265",
2012,1,7,Connecticut,0.614,0.613,55.60%,"1,560,640","1,558,960",2543202,2801375,8.50%,"16,935",0,"2,793","19,728",
2012,55,9,District of Columbia,0.616,0.615,55.50%,"294,254","293,764",477582,528848,9.70%,0,0,0,0,
2012,43,10,Florida,0.633,0.628,55.10%,"8,538,264","8,474,179",13495057,15380947,10.80%,"91,954","240,869","4,538","224,153",
2012,44,11,Georgia,0.593,0.59,52.30%,"3,919,355","3,900,050",6606607,7452696,7.20%,"52,737","442,061","24,761","311,790",
2012,82,12,Hawaii,0.445,0.442,39.90%,"437,159","434,697",982902,1088335,9.20%,"5,544",0,0,"5,544",
2012,63,13,Idaho,0.61,0.598,55.60%,"666,290","652,274",1091410,1173727,4.60%,"7,985","31,606","3,848","28,584",
2012,21,14,Illinois,0.593,0.589,53.30%,"5,279,752","5,242,014",8899143,9827043,8.90%,"49,348",0,0,"49,348",
2012,22,15,Indiana,0.56,0.552,52.90%,"2,663,368","2,624,534",4755291,4960376,3.60%,"28,266",0,0,"28,266",
2012,31,16,Iowa,0.706,0.703,67.10%,"1,589,951","1,582,180",2251748,2356209,3.20%,"8,470","29,333","5,151","29,167",
2012,32,17,Kansas,0.582,0.569,53.50%,"1,182,771","1,156,254",2030686,2162442,5.00%,"9,346","17,021","5,126","23,493",
2012,51,18,Kentucky,0.562,0.557,53.40%,"1,815,843","1,797,212",3229185,3368684,2.20%,"21,863","54,511","14,419","65,173",
2012,45,19,Louisiana,0.608,0.602,57.00%,"2,014,548","1,994,065",3311626,3495847,2.70%,"40,047","41,298","28,946","90,881",
2012,2,20,Maine,0.693,0.682,67.00%,"724,758","713,180",1046008,1064779,1.80%,0,0,0,0,
2012,52,21,Maryland,0.673,0.666,59.50%,"2,734,062","2,707,327",4063582,4553853,8.90%,"20,871","96,640","13,195","85,285",
2012,3,22,Massachusetts,0.662,0.659,60.20%,"3,184,196","3,167,767",4809675,5263550,8.40%,"10,283",0,0,"10,283",
2012,23,23,Michigan,0.654,0.647,62.00%,"4,780,701","4,730,961",7312725,7625576,3.50%,"43,019",0,0,"43,019",
2012,33,24,Minnesota,0.764,0.76,71.40%,"2,950,780","2,936,561",3861598,4114820,4.40%,"9,383","108,157","6,006","72,712",
2012,64,27,Montana,0.635,0.625,61.60%,"491,966","484,048",774476,785454,0.90%,"3,592",0,0,"3,592",
2012,35,28,Nebraska,0.611,0.603,56.90%,"804,245","794,379",1316915,1396507,4.70%,"4,466","14,260","1,383","13,407",
2012,65,29,Nevada,0.565,0.564,48.20%,"1,016,664","1,014,918",1800969,2105976,13.30%,"12,883","11,321","5,379","24,262",
2012,4,30,New Hampshire,0.709,0.702,67.80%,"718,700","710,972",1013420,1047978,3.00%,"2,672",0,0,"2,672",
2012,12,31,New Jersey,0.622,0.615,53.20%,"3,683,638","3,640,292",5918182,6847503,12.10%,"21,759","114,886","14,987","97,636",
2012,66,32,New Mexico,0.548,0.546,49.80%,"786,522","783,757",1436363,1573400,7.30%,"6,553","21,381","5,078","22,963",
2012,13,33,New York,0.535,0.531,46.10%,"7,128,852","7,074,723",13324107,15344671,12.50%,"49,889",0,"46,222","96,111",
2012,47,34,North Carolina,0.654,0.648,60.10%,"4,542,488","4,505,372",6947954,7496980,6.10%,"35,567","96,070","4,359","90,843",
2012,36,35,North Dakota,0.604,0.598,58.70%,"325,564","322,627",539164,549955,1.70%,"1,500",0,0,"1,500",
2012,24,36,Ohio,0.651,0.645,62.70%,"5,632,423","5,580,822",8649495,8896930,2.20%,"50,313",0,0,"50,313",
2012,72,38,Oregon,0.642,0.631,58.70%,"1,820,507","1,789,270",2836101,3050747,6.60%,"13,607",0,0,"13,607",
2012,48,41,South Carolina,0.568,0.563,53.60%,"1,981,516","1,964,118",3486838,3662322,3.50%,"21,895","34,945","6,116","46,532",
2012,37,42,South Dakota,0.601,0.593,57.60%,"368,270","363,815",613190,631472,1.90%,"3,574",0,"2,761","6,335",
2012,54,43,Tennessee,0.523,0.519,49.40%,"2,478,870","2,458,577",4736084,4976284,3.30%,"28,135","64,430","13,138","75,421",
2012,67,45,Utah,0.561,0.555,51.40%,"1,028,786","1,017,440",1833339,1978956,7.00%,"6,611",0,0,"6,611",
2012,6,46,Vermont,0.612,0.607,59.60%,"301,793","299,290",493355,502242,1.80%,0,0,0,0,
2012,40,47,Virginia,0.666,0.661,60.70%,"3,888,186","3,854,489",5834676,6348827,7.10%,"36,425","52,956","1,983","66,475",
2012,73,48,Washington,0.658,0.648,58.60%,"3,172,939","3,125,516",4822060,5329782,8.20%,"16,355","88,339","8,895","72,070",
2012,68,51,Wyoming,0.59,0.586,56.40%,"250,701","249,061",425142,441726,2.50%,"2,163","5,162",762,"5,661",
2010,0,0,United States,0.418,0.41,37.80%,"90,912,015","89,099,476",217551109,236022989,8.50%,"1,512,225","1,321,051","629,644","3,244,035","4,972,217"
2010,41,1,Alabama,0.433,0.43,40.80%,"1,503,232","1,494,273",3472582,3661784,2.80%,"31,587","50,622","9,006","86,889",
2010,81,2,Alaska,0.529,0.519,48.50%,"261,128","256,192",493764,528744,4.00%,"5,576","6,959","2,089","13,601",
2010,61,3,Arizona,0.416,0.41,35.90%,"1,750,840","1,727,791",4209544,4807398,10.30%,"35,368","52,316","7,993","96,443",
2010,42,4,Arkansas,0.379,0.375,35.30%,"789,773","781,333",2081156,2216171,3.70%,"16,047","26,995","21,106","53,752",
2010,71,5,California,0.459,0.44,35.80%,"10,529,134","10,095,485",22946053,28167234,17.70%,"146,412",0,"105,133","217,629",
2010,62,6,Colorado,0.517,0.506,46.50%,"1,828,323","1,787,730",3533054,3843619,7.30%,"21,559",0,"11,014","28,322",
2010,1,7,Connecticut,0.459,0.459,41.70%,"1,153,872","1,153,115",2512981,2765843,8.40%,"18,553",0,"2,894","20,768",
2010,11,8,Delaware,0.49,0.475,44.10%,"316,754","307,402",646969,696940,5.50%,"6,307","4,448",560,"11,326",
2010,55,9,District of Columbia,0.296,0.289,26.20%,"135,846","132,656",458619,506765,9.50%,0,0,0,0,
2010,43,10,Florida,0.422,0.417,36.30%,"5,473,787","5,411,106",12961184,14916066,11.20%,"97,944","165,760","4,093","272,113",
2010,44,11,Georgia,0.406,0.398,35.50%,"2,623,035","2,576,161",6464845,7255919,7.40%,"54,710","185,286","25,091","254,264",
2010,82,12,Hawaii,0.403,0.399,36.00%,"386,302","382,563",959531,1062593,9.10%,"5,813",0,0,"5,912",
2010,63,13,Idaho,0.429,0.423,39.40%,"459,079","452,535",1069446,1147210,4.70%,"7,268","13,721","3,957","23,131",
2010,21,14,Illinois,0.431,0.424,38.30%,"3,792,770","3,729,989",8798829,9735944,9.10%,"46,314",0,0,"48,418",
2010,22,15,Indiana,0.381,0.371,35.60%,"1,791,832","1,744,481",4697111,4896656,3.50%,"27,481",0,0,"28,028",
2010,31,16,Iowa,0.507,0.499,47.90%,"1,133,429","1,116,063",2234516,2328262,3.20%,"9,276","8,862","3,197","19,916",
2010,32,17,Kansas,0.426,0.417,39.20%,"857,658","838,790",2011497,2137815,5.20%,"8,741","3,704","5,063","15,287",
2010,51,18,Kentucky,0.443,0.424,40.70%,"1,417,995","1,356,468",3198093,3332204,2.40%,"20,385","25,688","14,628","53,546",
2010,45,19,Louisiana,0.4,0.389,36.80%,"1,298,649","1,264,994",3249524,3438247,2.70%,"39,335","42,599","26,202","95,145",
2010,2,20,Maine,0.559,0.552,54.30%,"580,584","572,766",1038201,1055605,1.60%,0,0,0,0,
2010,52,21,Maryland,0.467,0.464,41.80%,"1,868,179","1,857,880",4001034,4449617,8.80%,"21,992","26,164","13,195","55,407",
2010,3,22,Massachusetts,0.494,0.489,44.60%,"2,319,963","2,297,039",4693670,5152976,8.70%,"10,429",0,0,"11,312",
2010,23,23,Michigan,0.451,0.445,42.70%,"3,268,217","3,226,088",7245281,7555742,3.50%,"43,499",0,0,"44,113",
2010,33,24,Minnesota,0.558,0.554,52.10%,"2,123,369","2,107,021",3802677,4041199,4.50%,"9,281","42,661","5,807","55,361",
2010,34,26,Missouri,0.457,0.445,42.40%,"1,997,271","1,943,899",4366435,4581260,2.60%,"30,178","54,916","19,421","95,250",
2010,64,27,Montana,0.484,0.475,46.80%,"367,096","360,341",758653,770601,1.10%,"3,706",0,0,"3,716",
2010,35,28,Nebraska,0.387,0.375,35.50%,"503,514","487,988",1301483,1375023,4.70%,"4,324","4,080",941,"9,138",
2010,65,29,Nevada,0.414,0.413,35.30%,"723,515","721,404",1747288,2046400,13.50%,"12,653","8,067","4,964","23,202",
2010,4,30,New Hampshire,0.461,0.457,44.20%,"461,423","456,588",999918,1033023,2.90%,"2,694",0,0,"2,761",
2010,12,31,New Jersey,0.377,0.364,31.40%,"2,200,974","2,121,584",5834037,6750869,12.20%,"25,007","57,517","15,563","90,306",
2010,66,32,New Mexico,0.447,0.428,38.80%,"630,013","602,827",1408872,1552212,7.70%,"6,541","14,855","3,146","23,087",
2010,13,33,New York,0.363,0.355,30.80%,"4,763,899","4,658,586",13135048,15111583,12.50%,"50,668",0,"48,542","80,927",
2010,47,34,North Carolina,0.398,0.392,36.40%,"2,700,706","2,660,079",6785463,7310093,6.10%,"38,341","36,740","3,621","78,667",
2010,36,35,North Dakota,0.466,0.462,45.30%,"241,039","238,812",516974,527497,1.70%,"1,480",0,0,"1,487",
2010,24,36,Ohio,0.462,0.449,43.60%,"3,956,028","3,852,453",8571952,8826908,2.30%,"51,116",0,0,"51,712",
2010,53,37,Oklahoma,0.391,0.388,36.40%,"1,043,507","1,034,767",2666767,2839030,4.40%,"25,893","20,601","2,627","48,167",
2010,72,38,Oregon,0.539,0.527,48.70%,"1,487,210","1,453,548",2760607,2984806,7.00%,"12,262",0,0,"14,014",
2010,14,39,Pennsylvania,0.424,0.417,40.10%,"4,055,336","3,987,551",9565822,9946290,3.30%,"50,116",0,0,"51,264",
2010,5,40,Rhode Island,0.454,0.448,41.20%,"346,357","342,290",763534,829913,7.60%,"3,357",0,0,"3,357",
2010,48,41,South Carolina,0.403,0.397,37.60%,"1,365,480","1,344,198",3388417,3571250,3.80%,"23,074","21,144","6,412","47,928",
2010,37,42,South Dakota,0.539,0.529,51.50%,"323,410","317,083",599507,616113,1.90%,"3,373",0,"2,843","4,856",
2010,54,43,Tennessee,0.351,0.346,32.80%,"1,620,619","1,601,549",4622919,4878724,3.50%,"27,213","52,178","12,157","85,708",
2010,49,44,Texas,0.327,0.321,26.90%,"5,066,957","4,979,870",15514007,18487369,13.50%,"164,507","247,136","104,763","473,167",
2010,67,45,Utah,0.368,0.363,33.60%,"653,274","643,307",1772934,1914974,7.00%,"6,536",0,0,"6,807",
2010,6,46,Vermont,0.498,0.494,48.50%,"243,617","241,605",488942,498254,1.90%,0,0,0,0,
2010,40,47,Virginia,0.391,0.387,35.40%,"2,214,505","2,189,841",5660589,6194717,7.10%,"36,020","56,654","2,624","95,376",
2010,73,48,Washington,0.543,0.532,48.40%,"2,565,589","2,511,094",4724350,5190736,8.30%,"17,331","15,452","6,956","37,165",
2010,56,49,West Virginia,0.372,0.368,36.10%,"536,493","529,948",1442003,1468812,0.90%,"6,673","6,650","1,796","14,229",
2010,25,50,Wisconsin,0.524,0.52,49.70%,"2,185,021","2,171,331",4172130,4365214,3.20%,"22,724","22,602","19,572","55,112",
2010,68,51,Wyoming,0.46,0.455,43.80%,"190,822","188,463",414536,430673,2.40%,"2,059","3,231",682,"5,684",
2008,0,0,United States,0.622,0.616,56.90%,"132,609,063","131,304,731",213313508,230872030,8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
2008,41,1,Alabama,0.61,0.608,58.40%,"2,105,622","2,099,819",3454510,3595708,2.20%,"30,508","53,252","8,042","61,155","74,079"
2008,81,2,Alaska,0.683,0.68,64.30%,"327,341","326,197",479429,507645,3.70%,"5,014","6,708","1,732","9,234","60,686"
2008,61,3,Arizona,0.574,0.567,49.10%,"2,320,851","2,293,475",4046075,4673718,11.60%,"39,589","82,232","7,534","84,472","90,036"
2008,42,4,Arkansas,0.529,0.525,50.00%,"1,095,958","1,086,617",2071563,2174846,2.90%,"14,716","31,169","19,908","40,255","43,963"
2008,71,5,California,0.617,0.609,49.50%,"13,743,177","13,561,900",22261504,27411094,17.90%,"173,670",0,"120,753","234,047","486,207"
2008,62,6,Colorado,0.716,0.71,64.70%,"2,422,236","2,401,361",3382959,3708955,8.00%,"23,274",0,"11,654","29,101","71,854"
2008,11,8,Delaware,0.658,0.656,60.60%,"413,562","412,398",628200,680493,5.30%,"7,075","17,216",551,"15,959","12,658"
2008,55,9,District of Columbia,0.617,0.615,55.20%,"266,871","265,853",432566,481971,10.30%,0,0,0,0,"6,916"
2008,43,10,Florida,0.666,0.661,57.60%,"8,453,743","8,390,744",12687407,14558436,11.20%,"102,388","279,760","4,528","244,532","451,907"
2008,44,11,Georgia,0.627,0.625,55.60%,"3,940,705","3,924,440",6281872,7063638,7.30%,"52,719","397,081","23,448","262,984","141,001"
2008,82,12,Hawaii,0.49,0.488,43.80%,"456,064","453,568",930067,1036088,9.70%,"5,955",0,0,"5,955","20,090"
2008,63,13,Idaho,0.648,0.636,58.60%,"667,506","655,032",1029416,1117842,4.90%,"7,290","49,513","3,361","33,727","26,779"
2008,21,14,Illinois,0.643,0.636,57.40%,"5,578,195","5,523,051",8681138,9615700,9.20%,"45,474",0,0,"45,474","200,530"
2008,22,15,Indiana,0.603,0.591,57.00%,"2,805,986","2,751,054",4653019,4826231,3.00%,"28,322",0,0,"28,322","89,605"
2008,31,16,Iowa,0.697,0.694,66.90%,"1,543,662","1,537,123",2216094,2298515,2.60%,"8,766","22,958","3,159","21,825","43,108"
2008,32,17,Kansas,0.635,0.62,58.80%,"1,264,208","1,235,872",1991759,2100084,4.20%,"8,539","16,263","4,958","19,150","42,495"
2008,51,18,Kentucky,0.59,0.579,55.70%,"1,858,578","1,826,508",3152629,3277617,2.20%,"21,706","51,035","12,277","53,362","58,518"
2008,45,19,Louisiana,0.618,0.612,58.70%,"1,979,852","1,960,761",3205794,3342279,2.00%,"38,381","40,025","24,636","70,712","68,285"
2008,2,20,Maine,0.718,0.706,69.60%,"744,456","731,163",1036242,1049816,1.30%,0,0,0,0,"21,362"
2008,52,21,Maryland,0.678,0.67,60.60%,"2,661,905","2,631,596",3925117,4342850,7.80%,"23,324","96,360","13,220","78,114","77,074"
2008,3,22,Massachusetts,0.673,0.668,60.90%,"3,102,995","3,080,985",4612550,5058035,8.60%,"11,408",0,0,"11,408","77,830"
2008,23,23,Michigan,0.697,0.692,66.40%,"5,039,080","5,001,766",7229512,7528460,3.30%,"48,738",0,0,"48,738","163,673"
2008,33,24,Minnesota,0.781,0.778,73.20%,"2,921,147","2,910,369",3740142,3975974,4.00%,"9,910","127,627","5,081","76,264","70,063"
2008,34,26,Missouri,0.682,0.676,64.90%,"2,950,504","2,925,205",4327572,4507688,2.50%,"30,186","57,360","20,683","69,208","96,710"
2008,64,27,Montana,0.671,0.663,65.10%,"497,599","491,960",741853,755384,1.30%,"3,545",0,0,"3,545","22,898"
2008,35,28,Nebraska,0.637,0.629,59.40%,"811,923","801,281",1274719,1348048,4.30%,"4,520","19,606",846,"14,746","27,311"
2008,65,29,Nevada,0.572,0.57,48.40%,"970,019","967,848",1696831,2000277,14.10%,"12,743","13,337","3,908","21,366","45,656"
2008,4,30,New Hampshire,0.725,0.717,69.60%,"719,643","710,970",992226,1021787,2.60%,"2,702",0,0,"2,702","25,558"
2008,12,31,New Jersey,0.677,0.67,58.20%,"3,910,220","3,868,237",5776527,6651284,11.70%,"25,953","128,737","15,849","98,246","110,559"
2008,66,32,New Mexico,0.612,0.609,55.10%,"833,365","830,158",1362629,1505830,8.30%,"6,402","20,883","3,724","18,706","31,444"
